Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,75.85%,140.05%,186.7%,78.5%,104.2,1.5992,2.7123,0.501,0.858,0.488,0.119
2,0.64,0.48,NO,N/A,65.03%,102.1%,183.7%,61.28%,102.9,1.1603,2.5071,0.336,0.827,0.657,0.151
3,0.57,0.3,NO,N/A,48.17%,65.85%,160.7%,37.46%,89.7,0.7511,1.6262,0.214,0.558,0.782,0.43
4,0.6,0.34,NO,N/A,36.75%,38.67%,141.4%,24.01%,85.6,0.4637,1.2281,0.139,0.481,0.859,0.51
5,0.65,0.35,NO,N/A,28.49%,27.3%,128.2%,18.02%,84.0,0.2621,1.0244,0.069,0.449,0.93,0.543
6,0.6,0.06,NO,N/A,17.75%,14.7%,77.9%,11.11%,43.0,0.1361,0.4932,0.01,0.042,0.99,0.959
7,0.49,-0.73,NO,N/A,20.75%,15.45%,56.4%,8.8%,32.2,0.0973,0.3311,0.008,0.03,0.992,0.969
8,0.38,-0.89,NO,N/A,11.15%,7.86%,41.1%,5.93%,23.7,0.0602,0.2302,0.003,0.011,0.997,0.989
9,0.29,-0.96,NO,N/A,22.48%,7.35%,44.4%,4.25%,32.17,0.0697,0.2757,0.008,0.042,0.992,0.957
10,0.21,-0.98,NO,N/A,17.64%,4.25%,34.95%,2.4%,28.36,0.0571,0.2139,0.006,0.035,0.994,0.965
